年,労働時間,名目賃金,実質賃金,店舗あたり平均台数,証紙発行数,総人口,男女20代,男女30代,男女40代,男女50代,男女60代以上,東京GRP,大阪GRP,名古屋GRP,店舗数,パチンコ参加人口
1989,,,,193.8,,123205,16756,,,,,,,,16068,
1990,127.1,100.3,111.8,201.1,,123611,16923,,,,,,,,16074,
1991,124.3,104.8,113.1,194.6,,124101,17375,,,,,,,,17373,
1992,121.5,106.9,113.5,189.8,,124567,17849,,,,,,,,17827,
1993,118.2,107.1,112.4,198,,124938,18301,,,,,,,,18036,
1994,117.7,108.7,113.6,205.5,,125265,18658,,,,,,,,18113,29300
1995,117.8,109.9,115.1,209.8,,125570,18706,,,,,,,,18244,29000
1996,117.9,111.1,116.5,215.1,,125859,19130,,,,,,,,18164,27600
1997,116.3,112.9,116.4,216.8,,126157,19082,,,,,,,,17773,23100
1998,115,111.4,114.1,211.5,,126472,18993,,,,,,,,17426,19800
1999,113.7,109.7,112.7,207.2,3300000,126667,18785,,,,,,,,17173,18600
2000,114.5,109.8,113.9,201.5,3250000,126926,18247,16924,16746,19211,24935,,,,16988,20200
2001,113.3,108.1,113.2,197.7,3450000,126926,17904,17339,16283,19345,25685,25523.2,22981.8,50012.8,16801,19300
2002,112.2,104.9,111,197.1,3250000,127316,17443,17754,15948,19265,26360,30623,28589,64724.1,16504,21700
2003,112.2,104.1,110.5,200.7,3750000,127486,16965,18169,15788,19183,26965,29374.5,33425.2,95282.8,16076,17400
2004,112.4,103.6,110,197.1,4300000,127694,16480,18480,15763,18940,27559,27703.9,31775.2,125570.8,15617,17900
2005,111.7,104.3,111.2,195.2,4000000,127787,15695,18567,15868,19122,27978,30250.1,34222.5,158147.9,15165,17100
2006,112.2,104.5,111.1,199.9,4400000,127768,15326,18917,15676,19244,27992,51168.4,63938.3,176773.3,14674,16600
2007,111.4,103.5,109.9,217.5,3400000,127901,15033,18790,15954,18485,28797,89205.4,99879.3,183731.6,13585,14500
2008,110.2,103.3,107.9,237.8,3450000,128033,14735,18605,16187,17660,29661,130175.1,137055.5,214928.2,12937,15800
2009,107,99.3,105.3,249.7,3070000,128084,14417,18306,16407,16872,30520,118652.3,131389.2,199502.7,12652,17200
2010,108.6,99.9,106.8,253.5,2560000,128032,13915,18284,16901,16427,31398,90122.9,102760.5,176744.4,12479,16790
2011,108.3,99.7,106.9,252.2,2760000,128057,13589,17806,17281,15960,31818,48105.6,74606.2,132029.9,12323,12600
2012,108.9,98.8,105.9,250.4,2400000,127834,13320,17254,17673,15631,32100,30038.7,51237.1,110178.2,12149,11100
2013,107.7,98.5,105.1,253,2070000,127593,13075,16683,18074,15465,32266,25172.9,41981.1,99749,11893,9700
2014,107.3,99,102.3,254.1,2140000,127414,12880,16136,18402,15443,32331,17072.1,35546.2,81259.4,11627,11500
2015,106.9,99.1,101.3,258,1830000,127237,12624,15813,18613,15625,32451,12572,34010,81644.8,11310,10700
2016,106.3,99.7,102,257.9,1750000,127095,12542,15375,18994,15449,32369,13510,29504.6,68861.6,10986,9400
2017,106.1,100.2,101.9,259.5,1330000,126933,12518,14996,18900,15749,32212,8598.2,14289.7,58075.7,10596,9000
2018,105.2,101.6,102.1,262.2,1250000,126706,12552,14629,18760,16010,32128,6775.5,9522.3,44972.1,10060,9500
2019,102.9,101.2,101.2,265.4,1320000,126443,12627,14302,18519,16278,32160,8090.1,16690.2,46085,9639,8900
